Boro,DCP_Boro,PUMA_ID,CD_Label,CD_Name,HHE,HHM,HHP,HHZ,HHIU10E,HHIU10M,HHIU10P,HHIU10Z,HHI10t14E,HHI10t14M,HHI10t14P,HHI10t14Z,HHI15t24E,HHI15t24M,HHI15t24P,HHI15t24Z,HHI25t34E,HHI25t34M,HHI25t34P,HHI25t34Z,HHI35t49E,HHI35t49M,HHI35t49P,HHI35t49Z,HHI50t74E,HHI50t74M,HHI50t74P,HHI50t74Z,HHI75t99E,HHI75t99M,HHI75t99P,HHI75t99Z,HI100t149E,HI100t149M,HI100t149P,HI100t149Z,HI150t199E,HI150t199M,HI150t199P,HI150t199Z,HHI200plE,HHI200plM,HHI200plP,HHI200plZ,MdHHIncE,MdHHIncM,MdHHIncP,MdHHIncZ,MnHHIncE,MnHHIncM,MnHHIncP,MnHHIncZ,PerEarnE,PerEarnM,PerEarnP,PerEarnZ,DolEarnE,DolEarnM,DolEarnP,DolEarnZ,PerSocSecE,PerSocSecM,PerSocSecP,PerSocSecZ,DolSocSecE,DolSocSecM,DolSocSecP,DolSocSecZ,PerRetIncE,PerRetIncM,PerRetIncP,PerRetIncZ,DolRetIncE,DolRetIncM,DolRetIncP,DolRetIncZ,Inc_SpSecE,Inc_SpSecM,Inc_SpSecP,Inc_SpSecZ,MnSoSecDlE,MnSoSecDlM,MnSoSecDlP,MnSoSecDlZ,Inc_CPbAE,Inc_CPbAM,Inc_CPbAP,Inc_CPbAZ,Dol_CPbAE,Dol_CPbAM,Dol_CPbAP,Dol_CPbAZ,Inc_SNAPE,Inc_SNAPM,Inc_SNAPP,Inc_SNAPZ,FamE,FamM,FamP,FamZ,FamIU10E,FamIU10M,FamIU10P,FamIU10Z,FamI10t14E,FamI10t14M,FamI10t14P,FamI10t14Z,FamI15t24E,FamI15t24M,FamI15t24P,FamI15t24Z,FamI25t34E,FamI25t34M,FamI25t34P,FamI25t34Z,FamI35t49E,FamI35t49M,FamI35t49P,FamI35t49Z,FamI50t74E,FamI50t74M,FamI50t74P,FamI50t74Z,FamI75t99E,FamI75t99M,FamI75t99P,FamI75t99Z,FI100t149E,FI100t149M,FI100t149P,FI100t149Z,FI150t199E,FI150t199M,FI150t199P,FI150t199Z,FamI200plE,FamI200plM,FamI200plP,FamI200plZ,MdFamIncE,MdFamIncM,MdFamIncP,MdFamIncZ,MnFamIncE,MnFamIncM,MnFamIncP,MnFamIncZ,PerCapIncE,PerCapIncM,PerCapIncP,PerCapIncZ,NFamE,NFamM,NFamP,NFamZ,MdNFIncE,MdNFIncM,MdNFIncP,MdNFIncZ,MnNFIncE,MnNFIncM,MnNFIncP,MnNFIncZ,MdEWrkE,MdEWrkM,MdEWrkP,MdEWrkZ,MdEMFTWrkE,MdEMFTWrkM,MdEMFTWrkP,MdEMFTWrkZ,MdEFFTWrkE,MdEFFTWrkM,MdEFFTWrkP,MdEFFTWrkZ
5,2,3701,8,"Riverdale, Fieldston & Kingsbridge",41456,568,41456,(X),3541,412,8.5,1,2328,292,5.6,0.7,3722,414,9,1,3700,475,8.9,1.1,5276,542,12.7,1.3,7348,645,17.7,1.5,5444,517,13.1,1.3,5363,458,12.9,1.1,2253,319,5.4,0.8,2481,297,6,0.7,56391,2265,(X),(X),78726,2583,(X),(X),31609,665,76.2,1.4,83405,2782,(X),(X),11580,593,27.9,1.3,18255,524,(X),(X),6553,474,15.8,1.1,32159,3688,(X),(X),2866,349,6.9,0.8,8821,599,(X),(X),1673,276,4,0.7,3414,645,(X),(X),8146,563,19.6,1.4,25034,696,25034,(X),1673,283,6.7,1.1,1081,237,4.3,0.9,2066,309,8.3,1.2,2126,351,8.5,1.4,3066,430,12.2,1.7,4517,525,18,1.9,3060,386,12.2,1.5,3468,415,13.9,1.6,1787,297,7.1,1.2,2190,268,8.7,1,62611,3238,(X),(X),90622,3885,(X),(X),31436,1145,(X),(X),16422,747,16422,(X),44130,3761,(X),(X),57142,2960,(X),(X),36385,2108,(X),(X),50589,2207,(X),(X),50115,2434,(X),(X)
5,2,3702,12,"Wakefield, Williamsbridge & Woodlawn",46997,499,46997,(X),5672,542,12.1,1.1,2920,362,6.2,0.8,5258,474,11.2,1,4780,384,10.2,0.8,6188,539,13.2,1.2,8466,598,18,1.2,5902,471,12.6,1,5265,420,11.2,0.9,1724,256,3.7,0.5,822,179,1.7,0.4,45889,1626,(X),(X),58057,1462,(X),(X),36339,686,77.3,1.1,62009,1646,(X),(X),12154,495,25.9,1.1,15239,479,(X),(X),6468,422,13.8,0.9,21602,1397,(X),(X),3800,375,8.1,0.8,8954,405,(X),(X),2705,318,5.8,0.7,3427,485,(X),(X),11901,671,25.3,1.4,32831,711,32831,(X),3141,386,9.6,1.2,1397,243,4.3,0.7,3192,386,9.7,1.1,3008,372,9.2,1.1,4686,464,14.3,1.4,6049,476,18.4,1.5,4852,409,14.8,1.2,4196,430,12.8,1.2,1571,241,4.8,0.7,739,170,2.3,0.5,52844,1892,(X),(X),64757,1824,(X),(X),21002,521,(X),(X),14166,740,14166,(X),27452,2502,(X),(X),37466,1858,(X),(X),31631,661,(X),(X),42672,1402,(X),(X),40021,1129,(X),(X)
5,2,3703,10,"Co-op City, Pelham Bay & Schuylerville",47344,657,47344,(X),3760,534,7.9,1.1,2681,456,5.7,1,4640,582,9.8,1.2,4745,746,10,1.6,6020,702,12.7,1.5,7545,750,15.9,1.6,6506,624,13.7,1.3,7379,625,15.6,1.3,2349,495,5,1,1719,298,3.6,0.6,54911,2778,(X),(X),71413,2620,(X),(X),34348,1036,72.5,1.9,78828,2883,(X),(X),15734,663,33.2,1.4,17460,524,(X),(X),10105,636,21.3,1.4,22138,1697,(X),(X),2879,435,6.1,0.9,9436,787,(X),(X),1131,306,2.4,0.6,3145,729,(X),(X),6347,711,13.4,1.5,29183,958,29183,(X),1633,340,5.6,1.1,830,229,2.8,0.8,1905,361,6.5,1.2,2443,506,8.4,1.7,3264,521,11.2,1.8,4730,566,16.2,1.9,4803,591,16.5,2,5910,559,20.3,1.8,2128,474,7.3,1.6,1537,290,5.3,0.9,73332,4775,(X),(X),86445,3516,(X),(X),29044,968,(X),(X),18161,927,18161,(X),34315,2544,(X),(X),44198,2396,(X),(X),40955,1384,(X),(X),53679,2565,(X),(X),48836,1666,(X),(X)
5,2,3704,11,"Pelham Parkway, Morris Park & Laconia",44079,531,44079,(X),5154,465,11.7,1,3029,379,6.9,0.9,4730,456,10.7,1,4366,448,9.9,1,6247,570,14.2,1.3,7597,512,17.2,1.1,5063,464,11.5,1,5089,388,11.5,0.9,1839,265,4.2,0.6,965,176,2.2,0.4,46543,2050,(X),(X),60501,1609,(X),(X),33839,753,76.8,1.3,66243,1766,(X),(X),11166,563,25.3,1.3,14667,511,(X),(X),5517,375,12.5,0.8,20395,1638,(X),(X),3904,384,8.9,0.9,9579,443,(X),(X),2048,292,4.6,0.7,3559,492,(X),(X),11475,695,26,1.5,29537,680,29537,(X),2620,382,8.9,1.3,1246,262,4.2,0.9,2947,333,10,1.1,2990,409,10.1,1.4,4265,419,14.4,1.4,5221,460,17.7,1.4,3932,372,13.3,1.2,3964,345,13.4,1.2,1513,234,5.1,0.8,839,159,2.8,0.5,53365,1781,(X),(X),67507,1993,(X),(X),22084,563,(X),(X),14542,694,14542,(X),29169,3379,(X),(X),41543,2443,(X),(X),31983,973,(X),(X),42418,1573,(X),(X),41694,1107,(X),(X)
5,2,3705,3 & 6,"Belmont, Crotona Park East & East Tremont",54076,511,54076,(X),12789,686,23.7,1.2,7179,469,13.3,0.9,9422,616,17.4,1.1,6343,554,11.7,1,6579,589,12.2,1.1,6482,497,12,0.9,2402,316,4.4,0.6,2218,313,4.1,0.6,468,151,0.9,0.3,194,86,0.4,0.2,22154,770,(X),(X),33778,1305,(X),(X),36039,773,66.6,1.3,39982,1231,(X),(X),11530,587,21.3,1.1,11226,432,(X),(X),3812,404,7,0.7,16212,5680,(X),(X),10267,716,19,1.3,8796,230,(X),(X),6250,553,11.6,1,3416,268,(X),(X),29030,868,53.7,1.6,36408,731,36408,(X),6833,559,18.8,1.5,4366,372,12,1,6794,579,18.7,1.5,4851,482,13.3,1.3,5038,492,13.8,1.3,4620,444,12.7,1.2,1864,288,5.1,0.8,1653,288,4.5,0.8,234,84,0.6,0.2,155,72,0.4,0.2,25357,1184,(X),(X),35599,1251,(X),(X),12038,442,(X),(X),17668,683,17668,(X),13581,867,(X),(X),25975,2839,(X),(X),19497,748,(X),(X),29161,1600,(X),(X),29958,1452,(X),(X)
5,2,3706,7,"Bedford Park, Fordham North & Norwood",43328,625,43328,(X),6698,593,15.5,1.3,4794,511,11.1,1.2,6745,581,15.6,1.3,5025,516,11.6,1.2,5739,588,13.2,1.3,7181,655,16.6,1.5,3773,433,8.7,1,2519,344,5.8,0.8,468,133,1.1,0.3,386,140,0.9,0.3,31513,1499,(X),(X),43833,1459,(X),(X),33022,724,76.2,1.3,48729,1744,(X),(X),8846,622,20.4,1.4,11980,541,(X),(X),3350,371,7.7,0.8,17286,2195,(X),(X),5930,551,13.7,1.3,8523,477,(X),(X),2918,375,6.7,0.8,3364,416,(X),(X),18557,731,42.8,1.6,27564,646,27564,(X),3290,480,11.9,1.7,2782,410,10.1,1.5,4661,495,16.9,1.8,3494,501,12.7,1.7,3651,465,13.2,1.7,4876,466,17.7,1.6,2448,321,8.9,1.2,1695,296,6.1,1.1,379,126,1.4,0.5,288,118,1,0.4,33344,2199,(X),(X),46454,2120,(X),(X),16413,619,(X),(X),15764,811,15764,(X),22778,2730,(X),(X),34573,2199,(X),(X),23333,1361,(X),(X),35079,1073,(X),(X),33956,1978,(X),(X)
5,2,3707,5,"Morris Heights, Fordham South & Mount Hope",43481,420,43481,(X),8527,503,19.6,1.1,5373,521,12.4,1.2,7923,587,18.2,1.3,5658,503,13,1.2,6031,540,13.9,1.2,5438,477,12.5,1.1,2586,334,5.9,0.8,1476,263,3.4,0.6,348,113,0.8,0.3,121,67,0.3,0.2,24849,1383,(X),(X),35123,1187,(X),(X),32282,592,74.2,1.2,38741,1272,(X),(X),7796,495,17.9,1.1,11222,503,(X),(X),2330,274,5.4,0.6,13798,1459,(X),(X),7334,524,16.9,1.2,8550,297,(X),(X),4623,452,10.6,1,3573,249,(X),(X),21894,729,50.4,1.6,29857,689,29857,(X),4604,445,15.4,1.4,3469,450,11.6,1.5,5968,486,20,1.6,3868,451,13,1.5,4639,466,15.5,1.5,4095,430,13.7,1.4,1860,318,6.2,1,1019,227,3.4,0.8,273,104,0.9,0.3,62,48,0.2,0.2,27817,1442,(X),(X),36614,1188,(X),(X),12792,460,(X),(X),13624,609,13624,(X),15949,1176,(X),(X),26730,2538,(X),(X),18710,1018,(X),(X),27837,1745,(X),(X),26946,1320,(X),(X)
5,2,3708,4,"Concourse, Highbridge & Mount Eden",47633,473,47633,(X),9109,654,19.1,1.3,5588,576,11.7,1.2,8032,650,16.9,1.4,6283,496,13.2,1,6673,481,14,1,6454,476,13.5,1,2846,375,6,0.8,1959,310,4.1,0.6,515,161,1.1,0.3,174,81,0.4,0.2,26349,969,(X),(X),37482,1470,(X),(X),33973,744,71.3,1.5,42500,1845,(X),(X),10235,567,21.5,1.2,11563,463,(X),(X),4304,430,9,0.9,14910,1826,(X),(X),8278,602,17.4,1.3,8503,372,(X),(X),5102,502,10.7,1,3418,375,(X),(X),23369,876,49.1,1.8,31158,754,31158,(X),4570,509,14.7,1.5,3169,471,10.2,1.5,5620,561,18,1.8,4839,466,15.5,1.4,4373,395,14,1.2,4619,441,14.8,1.4,2167,328,7,1,1306,233,4.2,0.7,372,132,1.2,0.4,123,61,0.4,0.2,28482,1266,(X),(X),39840,1844,(X),(X),13808,579,(X),(X),16475,691,16475,(X),16901,1535,(X),(X),28961,1949,(X),(X),20801,892,(X),(X),30494,1246,(X),(X),30818,1273,(X),(X)
5,2,3709,9,"Castle Hill, Clason Point & Parkchester",63188,703,63188,(X),8953,581,14.2,0.9,5256,512,8.3,0.8,8992,577,14.2,0.9,7084,574,11.2,0.9,8763,643,13.9,1,10119,620,16,1,6126,519,9.7,0.8,5631,493,8.9,0.8,1388,229,2.2,0.4,876,208,1.4,0.3,36951,1387,(X),(X),50113,1307,(X),(X),46657,1075,73.8,1.2,54730,1527,(X),(X),15970,604,25.3,0.9,13597,444,(X),(X),7411,451,11.7,0.7,23277,2943,(X),(X),7665,658,12.1,1.1,8967,340,(X),(X),4098,429,6.5,0.7,3338,340,(X),(X),21376,962,33.8,1.5,42711,981,42711,(X),4516,458,10.6,1.1,3007,425,7,1,6200,516,14.5,1.2,5164,500,12.1,1.2,5919,512,13.9,1.1,7200,583,16.9,1.3,4300,425,10.1,0.9,4456,413,10.4,0.9,1181,202,2.8,0.5,768,187,1.8,0.4,41332,1872,(X),(X),54714,1519,(X),(X),18519,416,(X),(X),20477,785,20477,(X),23216,2088,(X),(X),34409,1456,(X),(X),26775,724,(X),(X),34874,1770,(X),(X),37237,1438,(X),(X)
5,2,3710,1 & 2,"Hunts Point, Longwood & Melrose",48741,535,48741,(X),11391,604,23.4,1.2,6729,606,13.8,1.2,8801,578,18.1,1.2,6022,498,12.4,1,5889,522,12.1,1.1,5618,553,11.5,1.1,2096,267,4.3,0.5,1568,243,3.2,0.5,369,104,0.8,0.2,258,112,0.5,0.2,21718,851,(X),(X),32997,1019,(X),(X),31770,750,65.2,1.4,40195,1463,(X),(X),11539,627,23.7,1.3,10998,391,(X),(X),3161,332,6.5,0.7,10444,1089,(X),(X),10383,544,21.3,1.1,8897,283,(X),(X),4852,402,10,0.8,3753,358,(X),(X),26618,790,54.6,1.6,32912,671,32912,(X),6257,504,19,1.5,3843,496,11.7,1.5,6176,485,18.8,1.5,4493,464,13.7,1.4,4601,477,14,1.4,4229,477,12.8,1.4,1643,233,5,0.7,1174,201,3.6,0.6,287,99,0.9,0.3,209,103,0.6,0.3,25424,1433,(X),(X),36102,1470,(X),(X),11509,353,(X),(X),15829,653,15829,(X),13361,943,(X),(X),22451,1260,(X),(X),19944,757,(X),(X),27001,1124,(X),(X),29267,2487,(X),(X)
