,locationID,borough,zone,PUMA,medIncome,percentPub,perWalked,totalPop
0,5,Staten Island,Arden Heights,3901,86522.0,23.4,1.4,134358.0
1,6,Staten Island,Arrochar/Fort Wadsworth,3902,74728.0,28.5,3.0,107859.0
2,23,Staten Island,Bloomfield/Emerson Hill,3902,74728.0,28.5,3.0,107859.0
3,44,Staten Island,Charleston/Tottenville,3901,86522.0,23.4,1.4,134358.0
4,84,Staten Island,Eltingville/Annadale/Prince's Bay,3901,86522.0,23.4,1.4,134358.0
5,99,Staten Island,Freshkills Park,3901,86522.0,23.4,1.4,134358.0
6,109,Staten Island,Great Kills,3901,86522.0,23.4,1.4,134358.0
7,110,Staten Island,Great Kills Park,3901,86522.0,23.4,1.4,134358.0
8,115,Staten Island,Grymes Hill/Clifton,3903,60227.0,35.9,3.9,135254.0
9,118,Staten Island,Heartland Village/Todt Hill,3902,74728.0,28.5,3.0,107859.0
10,156,Staten Island,Mariners Harbor,3903,60227.0,35.9,3.9,135254.0
11,172,Staten Island,New Dorp/Midland Beach,3902,74728.0,28.5,3.0,107859.0
12,176,Staten Island,Oakwood,3901,86522.0,23.4,1.4,134358.0
13,187,Staten Island,Port Richmond,3903,60227.0,35.9,3.9,135254.0
14,204,Staten Island,Rossville/Woodrow,3901,86522.0,23.4,1.4,134358.0
15,206,Staten Island,Saint George/New Brighton,3903,60227.0,35.9,3.9,135254.0
16,214,Staten Island,South Beach/Dongan Hills,3902,74728.0,28.5,3.0,107859.0
17,221,Staten Island,Stapleton,3903,60227.0,35.9,3.9,135254.0
18,245,Staten Island,West Brighton,3903,60227.0,35.9,3.9,135254.0
19,251,Staten Island,Westerleigh,3903,60227.0,35.9,3.9,135254.0
20,2,Queens,Jamaica Bay,4112,52992.0,51.4,3.8,187514.0
21,7,Queens,Astoria,4101,52167.0,68.0,7.0,149082.0
22,8,Queens,Astoria Park,4101,52167.0,68.0,7.0,149082.0
23,9,Queens,Auburndale,4104,77062.0,28.7,2.8,100224.0
24,10,Queens,Baisley Park,4112,52992.0,51.4,3.8,187514.0
25,15,Queens,Bay Terrace/Fort Totten,4103,53946.0,38.4,8.7,211997.0
26,16,Queens,Bayside,4104,77062.0,28.7,2.8,100224.0
27,19,Queens,Bellerose,4105,77713.0,34.9,2.0,164655.0
28,27,Queens,Breezy Point/Fort Tilden/Riis Beach,4114,47926.0,39.2,7.1,88990.0
29,28,Queens,Briarwood/Jamaica Hills,4106,59128.0,46.0,5.4,126498.0
30,30,Queens,Broad Channel,4114,47926.0,39.2,7.1,88990.0
31,38,Queens,Cambria Heights,4105,77713.0,34.9,2.0,164655.0
32,53,Queens,College Point,4103,53946.0,38.4,8.7,211997.0
33,56,Queens,Corona,4107,45883.0,68.2,7.8,116705.0
34,57,Queens,Corona,4107,45883.0,68.2,7.8,116705.0
35,64,Queens,Douglaston,4104,77062.0,28.7,2.8,100224.0
36,70,Queens,East Elmhurst,4102,48511.0,66.4,7.3,146421.0
37,73,Queens,East Flushing,4103,53946.0,38.4,8.7,211997.0
38,82,Queens,Elmhurst,4107,45883.0,68.2,7.8,116705.0
39,83,Queens,Elmhurst/Maspeth,4109,56713.0,70.5,6.1,115296.0
40,86,Queens,Far Rockaway,4114,47926.0,39.2,7.1,88990.0
41,92,Queens,Flushing,4103,53946.0,38.4,8.7,211997.0
42,93,Queens,Flushing Meadows-Corona Park,4103,53946.0,38.4,8.7,211997.0
43,95,Queens,Forest Hills,4108,62328.0,60.2,6.9,94237.0
44,96,Queens,Forest Park/Highland Park,4008,34152.0,68.1,4.1,114345.0
45,98,Queens,Fresh Meadows,4106,59128.0,46.0,5.4,126498.0
46,101,Queens,Glen Oaks,4105,77713.0,34.9,2.0,164655.0
47,102,Queens,Glendale,4110,57540.0,53.6,5.6,136441.0
48,117,Queens,Hammels/Arverne,4114,47926.0,39.2,7.1,88990.0
49,121,Queens,Hillcrest/Pomonok,4106,59128.0,46.0,5.4,126498.0
50,122,Queens,Hollis,4112,52992.0,51.4,3.8,187514.0
51,124,Queens,Howard Beach,4113,61589.0,43.0,3.4,109235.0
52,129,Queens,Jackson Heights,4102,48511.0,66.4,7.3,146421.0
53,130,Queens,Jamaica,4112,52992.0,51.4,3.8,187514.0
54,131,Queens,Jamaica Estates,4106,59128.0,46.0,5.4,126498.0
55,132,Queens,JFK Airport,4102,48511.0,66.4,7.3,146421.0
56,134,Queens,Kew Gardens,4111,60780.0,54.3,5.4,118457.0
57,135,Queens,Kew Gardens Hills,4106,59128.0,46.0,5.4,126498.0
58,138,Queens,LaGuardia Airport,4102,48511.0,66.4,7.3,146421.0
59,139,Queens,Laurelton,4105,77713.0,34.9,2.0,164655.0
60,145,Queens,Long Island City/Hunters Point,4109,56713.0,70.5,6.1,115296.0
61,146,Queens,Long Island City/Queens Plaza,4101,52167.0,68.0,7.0,149082.0
62,157,Queens,Maspeth,4110,57540.0,53.6,5.6,136441.0
63,160,Queens,Middle Village,4110,57540.0,53.6,5.6,136441.0
64,171,Queens,Murray Hill-Queens,4103,53946.0,38.4,8.7,211997.0
65,173,Queens,North Corona,4102,48511.0,66.4,7.3,146421.0
66,175,Queens,Oakland Gardens,4104,77062.0,28.7,2.8,100224.0
67,179,Queens,Old Astoria,4101,52167.0,68.0,7.0,149082.0
68,180,Queens,Ozone Park,4113,61589.0,43.0,3.4,109235.0
69,191,Queens,Queens Village,4105,77713.0,34.9,2.0,164655.0
70,192,Queens,Queensboro Hill,4103,53946.0,38.4,8.7,211997.0
71,193,Queens,Queensbridge/Ravenswood,4101,52167.0,68.0,7.0,149082.0
72,196,Queens,Rego Park,4108,62328.0,60.2,6.9,94237.0
73,197,Queens,Richmond Hill,4111,60780.0,54.3,5.4,118457.0
74,198,Queens,Ridgewood,4110,57540.0,53.6,5.6,136441.0
75,201,Queens,Rockaway Park,4114,47926.0,39.2,7.1,88990.0
76,203,Queens,Rosedale,4105,77713.0,34.9,2.0,164655.0
77,205,Queens,Saint Albans,4112,52992.0,51.4,3.8,187514.0
78,207,Queens,Saint Michaels Cemetery/Woodside,4109,56713.0,70.5,6.1,115296.0
79,215,Queens,South Jamaica,4112,52992.0,51.4,3.8,187514.0
80,216,Queens,South Ozone Park,4113,61589.0,43.0,3.4,109235.0
81,218,Queens,Springfield Gardens North,4112,52992.0,51.4,3.8,187514.0
82,219,Queens,Springfield Gardens South,4105,77713.0,34.9,2.0,164655.0
83,223,Queens,Steinway,4101,52167.0,68.0,7.0,149082.0
84,226,Queens,Sunnyside,4109,56713.0,70.5,6.1,115296.0
85,252,Queens,Whitestone,4103,53946.0,38.4,8.7,211997.0
86,253,Queens,Willets Point,4103,53946.0,38.4,8.7,211997.0
87,258,Queens,Woodhaven,4111,60780.0,54.3,5.4,118457.0
88,260,Queens,Woodside,4109,56713.0,70.5,6.1,115296.0
89,4,Manhattan,Alphabet City,3808,102337.0,45.5,34.7,134292.0
90,12,Manhattan,Battery Park,3810,118108.0,54.9,25.4,135804.0
91,13,Manhattan,Battery Park City,3810,118108.0,54.9,25.4,135804.0
92,24,Manhattan,Bloomingdale,3806,100746.0,67.2,12.0,168498.0
93,41,Manhattan,Central Harlem,3803,38028.0,73.0,7.8,105201.0
94,42,Manhattan,Central Harlem North,3803,38028.0,73.0,7.8,105201.0
95,43,Manhattan,Central Park,3806,100746.0,67.2,12.0,168498.0
96,45,Manhattan,Chinatown,3809,42873.0,55.2,26.5,145607.0
97,48,Manhattan,Clinton East,3807,92246.0,46.6,33.3,134866.0
98,50,Manhattan,Clinton West,3807,92246.0,46.6,33.3,134866.0
99,68,Manhattan,East Chelsea,3807,92246.0,46.6,33.3,134866.0
100,74,Manhattan,East Harlem North,3804,30857.0,72.0,13.9,98151.0
101,75,Manhattan,East Harlem South,3804,30857.0,72.0,13.9,98151.0
102,79,Manhattan,East Village,3809,42873.0,55.2,26.5,145607.0
103,87,Manhattan,Financial District North,3810,118108.0,54.9,25.4,135804.0
104,88,Manhattan,Financial District South,3810,118108.0,54.9,25.4,135804.0
105,90,Manhattan,Flatiron,3807,92246.0,46.6,33.3,134866.0
106,100,Manhattan,Garment District,3807,92246.0,46.6,33.3,134866.0
107,103,Manhattan,Governor's Island/Ellis Island/Liberty Island,3810,118108.0,54.9,25.4,135804.0
108,104,Manhattan,Governor's Island/Ellis Island/Liberty Island,3810,118108.0,54.9,25.4,135804.0
109,105,Manhattan,Governor's Island/Ellis Island/Liberty Island,3810,118108.0,54.9,25.4,135804.0
110,107,Manhattan,Gramercy,3808,102337.0,45.5,34.7,134292.0
111,113,Manhattan,Greenwich Village North,3810,118108.0,54.9,25.4,135804.0
112,114,Manhattan,Greenwich Village South,3810,118108.0,54.9,25.4,135804.0
113,116,Manhattan,Hamilton Heights,3802,41614.0,70.1,13.2,111734.0
114,120,Manhattan,Highbridge Park,3801,41513.0,65.8,12.5,180291.0
115,125,Manhattan,Hudson Sq,3807,92246.0,46.6,33.3,134866.0
116,127,Manhattan,Inwood,3801,41513.0,65.8,12.5,180291.0
117,128,Manhattan,Inwood Hill Park,3801,41513.0,65.8,12.5,180291.0
118,137,Manhattan,Kips Bay,3808,102337.0,45.5,34.7,134292.0
119,140,Manhattan,Lenox Hill East,3805,106940.0,56.3,19.3,190644.0
120,141,Manhattan,Lenox Hill West,3805,106940.0,56.3,19.3,190644.0
121,142,Manhattan,Lincoln Square East,3806,100746.0,67.2,12.0,168498.0
122,143,Manhattan,Lincoln Square West,3806,100746.0,67.2,12.0,168498.0
123,144,Manhattan,Little Italy/NoLiTa,3810,118108.0,54.9,25.4,135804.0
124,148,Manhattan,Lower East Side,3809,42873.0,55.2,26.5,145607.0
125,151,Manhattan,Manhattan Valley,3802,41614.0,70.1,13.2,111734.0
126,152,Manhattan,Manhattanville,3802,41614.0,70.1,13.2,111734.0
127,153,Manhattan,Marble Hill,3801,41513.0,65.8,12.5,180291.0
128,158,Manhattan,Meatpacking/West Village West,3810,118108.0,54.9,25.4,135804.0
129,161,Manhattan,Midtown Center,3807,92246.0,46.6,33.3,134866.0
130,162,Manhattan,Midtown East,3807,92246.0,46.6,33.3,134866.0
131,163,Manhattan,Midtown North,3807,92246.0,46.6,33.3,134866.0
132,164,Manhattan,Midtown South,3807,92246.0,46.6,33.3,134866.0
133,166,Manhattan,Morningside Heights,3802,41614.0,70.1,13.2,111734.0
134,170,Manhattan,Murray Hill,3808,102337.0,45.5,34.7,134292.0
135,186,Manhattan,Penn Station/Madison Sq West,3807,92246.0,46.6,33.3,134866.0
136,194,Manhattan,Randalls Island,3804,30857.0,72.0,13.9,98151.0
137,202,Manhattan,Roosevelt Island,3805,106940.0,56.3,19.3,190644.0
138,209,Manhattan,Seaport,3810,118108.0,54.9,25.4,135804.0
139,211,Manhattan,SoHo,3810,118108.0,54.9,25.4,135804.0
140,224,Manhattan,Stuy Town/Peter Cooper Village,3808,102337.0,45.5,34.7,134292.0
141,229,Manhattan,Sutton Place/Turtle Bay North,3808,102337.0,45.5,34.7,134292.0
142,230,Manhattan,Times Sq/Theatre District,3807,92246.0,46.6,33.3,134866.0
143,231,Manhattan,TriBeCa/Civic Center,3810,118108.0,54.9,25.4,135804.0
144,232,Manhattan,Two Bridges/Seward Park,3810,118108.0,54.9,25.4,135804.0
145,233,Manhattan,UN/Turtle Bay South,3808,102337.0,45.5,34.7,134292.0
146,234,Manhattan,Union Sq,3808,102337.0,45.5,34.7,134292.0
147,236,Manhattan,Upper East Side North,3805,106940.0,56.3,19.3,190644.0
148,237,Manhattan,Upper East Side South,3805,106940.0,56.3,19.3,190644.0
149,238,Manhattan,Upper West Side North,3806,100746.0,67.2,12.0,168498.0
150,239,Manhattan,Upper West Side South,3806,100746.0,67.2,12.0,168498.0
151,243,Manhattan,Washington Heights North,3806,100746.0,67.2,12.0,168498.0
152,244,Manhattan,Washington Heights South,3801,41513.0,65.8,12.5,180291.0
153,246,Manhattan,West Chelsea/Hudson Yards,3807,92246.0,46.6,33.3,134866.0
154,249,Manhattan,West Village,3810,118108.0,54.9,25.4,135804.0
155,261,Manhattan,World Trade Center,3810,118108.0,54.9,25.4,135804.0
156,262,Manhattan,Yorkville East,3805,106940.0,56.3,19.3,190644.0
157,263,Manhattan,Yorkville West,3805,106940.0,56.3,19.3,190644.0
158,1,EWR,Newark Airport,0,,,,
159,11,Brooklyn,Bath Beach,4017,47302.0,61.2,6.9,151775.0
160,14,Brooklyn,Bay Ridge,4013,56454.0,53.3,8.5,106712.0
161,17,Brooklyn,Bedford,4013,56454.0,53.3,8.5,106712.0
162,21,Brooklyn,Bensonhurst East,4017,47302.0,61.2,6.9,151775.0
