PUMA,num_rides
3701,40986
3702,13937
3703,11914
3704,22663
3705,27000
3706,17664
3707,14348
3708,27812
3709,20486
3710,23336
3801,69013
3802,167297
3803,127778
3804,104085
3805,1083968
3806,736609
3807,3315480
3808,1562182
3809,704020
3810,2500628
3901,450
3902,3262
3903,3247
4001,623534
4002,184006
4003,59136
4004,359755
4005,301516
4006,168384
4007,27741
4008,24426
4009,40393
4010,36616
4011,64180
4012,64478
4013,125564
4014,104865
4015,64425
4016,37661
4017,22424
4018,13446
4101,191036
4102,608353
4103,52692
4104,18421
4105,22549
4106,47124
4107,31713
4108,53740
4109,164947
4110,59709
4111,33089
4112,36642
4113,21398
4114,1982
